country,iso,year,diabetes_prevalence,treatment_rate,obesity_prevalence
Denmark,DNK,1990,0.026466619923599298,0.3188798484988415,8.57632
Denmark,DNK,1991,0.0271614530637285,0.32310206478973147,8.8285
Denmark,DNK,1992,0.0278188043779278,0.327693054220042,9.09095
Denmark,DNK,1993,0.02843549669492845,0.3326193294809855,9.36231
Denmark,DNK,1994,0.0289769294017703,0.337866286425612,9.64552
Denmark,DNK,1995,0.02942362310483095,0.343483804233706,9.94201
Denmark,DNK,1996,0.029765232698109552,0.3495067430993845,10.25471
Denmark,DNK,1997,0.02998355699407795,0.355957443570212,10.58054
Denmark,DNK,1998,0.030096719869775253,0.3627964443043935,10.91174
Denmark,DNK,1999,0.030126812948505898,0.37005587219573155,11.24337
Denmark,DNK,2000,0.030108947135227798,0.377571126737302,11.57241
Denmark,DNK,2001,0.0300789533011235,0.38536127475697,11.89532
Denmark,DNK,2002,0.03003150676016575,0.393505091093985,12.20524
Denmark,DNK,2003,0.029952411053991948,0.40202339211579297,12.49502
Denmark,DNK,2004,0.0298454133663701,0.41081125801921703,12.75888
Denmark,DNK,2005,0.02970127465605555,0.41986097710367853,12.99435
Denmark,DNK,2006,0.0295042870818912,0.42919820716580503,13.20076
Denmark,DNK,2007,0.0292448922238839,0.438836418269489,13.3723
Denmark,DNK,2008,0.0289409720552542,0.448786035103791,13.50689
Denmark,DNK,2009,0.02857368567183555,0.4591963022216095,13.60474
Denmark,DNK,2010,0.028130678184971954,0.46993212915605354,13.67124
Denmark,DNK,2011,0.027630878565577402,0.4809190208696885,13.71502
Denmark,DNK,2012,0.027104610414895203,0.49199089847861455,13.74137
Denmark,DNK,2013,0.026586245868732948,0.5030412035997764,13.7632
Denmark,DNK,2014,0.02607854514965845,0.5138795796687226,13.78926
Denmark,DNK,2015,0.0255891864022872,0.524531073930929,13.82544
Denmark,DNK,2016,0.02513000115433595,0.5349071623171284,13.87766
Denmark,DNK,2017,0.024694612680495602,0.5449695930288935,13.93698
Denmark,DNK,2018,0.0243102098807204,0.5547445380987626,13.99919
Denmark,DNK,2019,0.02398253450757975,0.5643838652462695,14.06424
Denmark,DNK,2020,0.0237152750191612,0.5739617682721521,14.13622
Denmark,DNK,2021,0.023493479821508,0.583469092689047,14.21624
Denmark,DNK,2022,0.023312817794922253,0.5929099682129345,14.30341
Finland,FIN,1990,0.03937992645598895,0.4522028003806035,14.89805
Finland,FIN,1991,0.03980422982005715,0.46141002737382153,15.19519
Finland,FIN,1992,0.040293957366502806,0.470922313700445,15.51195
Finland,FIN,1993,0.040836221065339004,0.4807051745195595,15.84516
Finland,FIN,1994,0.04139409775381605,0.4906364229251565,16.20302
Finland,FIN,1995,0.041947255324497446,0.5008150987134194,16.57351
Finland,FIN,1996,0.0424773816232857,0.51115964986241,16.96074
Finland,FIN,1997,0.0429655148953591,0.52154184867581,17.35507
Finland,FIN,1998,0.04342171883323105,0.5318855767944011,17.74572
Finland,FIN,1999,0.0439075174789191,0.5421357195970155,18.14613
Finland,FIN,2000,0.0444744952375989,0.5521878827354645,18.54766
Finland,FIN,2001,0.04520776875241405,0.5620568340817955,18.94755
Finland,FIN,2002,0.046089048191786205,0.57184653036145,19.33281
Finland,FIN,2003,0.04709212157713715,0.5816139568846155,19.68911
Finland,FIN,2004,0.0481878037929699,0.591319465771623,20.02592
Finland,FIN,2005,0.049340052083147304,0.600978752365513,20.34336
Finland,FIN,2006,0.0504943799856181,0.6106419233676199,20.64062
Finland,FIN,2007,0.051643038779967204,0.620348977762162,20.9152
Finland,FIN,2008,0.05279181953328205,0.6301009409852469,21.15378
Finland,FIN,2009,0.053886657354259654,0.640031316919816,21.36269
Finland,FIN,2010,0.05491829114927745,0.65007333926734,21.54569
Finland,FIN,2011,0.0559247025533819,0.6601667476375555,21.70615
Finland,FIN,2012,0.0569638598329733,0.6701307912843545,21.85322
Finland,FIN,2013,0.05812110018363965,0.6798105440260015,22.00181
Finland,FIN,2014,0.059406082235989345,0.689126754805029,22.15766
Finland,FIN,2015,0.0608203904544107,0.6980769264094979,22.32771
Finland,FIN,2016,0.0623497734974299,0.7065847790992555,22.51173
Finland,FIN,2017,0.0639746389435692,0.7146376805067155,22.70241
Finland,FIN,2018,0.06572317794589855,0.7222095490223439,22.89806
Finland,FIN,2019,0.06758717189737755,0.7294153591475541,23.09244
Finland,FIN,2020,0.0695555064411293,0.736401837907644,23.29123
Finland,FIN,2021,0.071634877233066,0.743133872779117,23.49279
Finland,FIN,2022,0.07382877203173716,0.749560297573124,23.70109
Iceland,ISL,1990,0.03419409555999105,0.361118251158689,9.84273
Iceland,ISL,1991,0.03498085325964625,0.367400687773652,10.26226
Iceland,ISL,1992,0.0357499740311897,0.3740539165309925,10.69317
Iceland,ISL,1993,0.0364894408720257,0.3810095341788465,11.15226
Iceland,ISL,1994,0.03718198921800095,0.38825054420452054,11.63488
Iceland,ISL,1995,0.03779522479142745,0.39591238350424096,12.14381
Iceland,ISL,1996,0.038318911831383154,0.40397313144554503,12.66309
Iceland,ISL,1997,0.03874099604731015,0.4124513489070605,13.19249
Iceland,ISL,1998,0.0390990829777251,0.421238470823016,13.72802
Iceland,ISL,1999,0.0394089807900378,0.4303377595718645,14.25964
Iceland,ISL,2000,0.03970848465989705,0.4396565735121585,14.7834
Iceland,ISL,2001,0.0400375371792415,0.449158874807268,15.31178
Iceland,ISL,2002,0.0403941401685964,0.4588448196470005,15.85229
Iceland,ISL,2003,0.04078056401362965,0.468750088548031,16.38997
Iceland,ISL,2004,0.04119657843926735,0.4787360186281825,16.90849
Iceland,ISL,2005,0.04162540892745355,0.4887896888783455,17.38345
Iceland,ISL,2006,0.04205667923463195,0.4988928943372235,17.81374
Iceland,ISL,2007,0.04247652612547805,0.5090061607176315,18.1792
Iceland,ISL,2008,0.04289295582805385,0.519113828751831,18.49721
Iceland,ISL,2009,0.04328819002113275,0.529330226666721,18.84875
Iceland,ISL,2010,0.04365789429054925,0.5395868485394615,19.19972
Iceland,ISL,2011,0.0440232898856663,0.5497670412841295,19.50082
Iceland,ISL,2012,0.0444179529563251,0.5597776375266854,19.77489
Iceland,ISL,2013,0.0448936603983194,0.5694318466839015,20.02701
Iceland,ISL,2014,0.0454505610835159,0.578701842196303,20.27821
Iceland,ISL,2015,0.046113367808077205,0.58754110187282,20.54144
Iceland,ISL,2016,0.04687235504904495,0.5958903296180424,20.80772
Iceland,ISL,2017,0.0477034937644331,0.60385233261617,21.0519
Iceland,ISL,2018,0.04866332210739355,0.6114095508013204,21.29185
Iceland,ISL,2019,0.04975105762652375,0.618652053060611,21.55821
Iceland,ISL,2020,0.0509722333354238,0.625655048639019,21.86269
Iceland,ISL,2021,0.0523173272848266,0.6323700238547589,22.21003
Iceland,ISL,2022,0.0537945310317604,0.6388025473551651,22.58658
Netherlands,NLD,1990,0.0443373656128313,0.3427539413537975,8.72379
Netherlands,NLD,1991,0.0452887997246111,0.3500484243472925,9.00864
Netherlands,NLD,1992,0.046173617188107696,0.35792411662012946,9.32026
Netherlands,NLD,1993,0.0469682130696982,0.366313439608327,9.65403
Netherlands,NLD,1994,0.04764219473252,0.37519187251936503,10.01328
Netherlands,NLD,1995,0.0481664191178938,0.3846676671195685,10.39585
Netherlands,NLD,1996,0.0485191257732496,0.3947526349440885,10.80128
Netherlands,NLD,1997,0.048678051165786704,0.4054371021253,11.22622
Netherlands,NLD,1998,0.048712154505513,0.4166037439368735,11.66006
Netherlands,NLD,1999,0.0487096167023285,0.428123581012097,12.09924
Netherlands,NLD,2000,0.04875834653492255,0.43981863852257197,12.5324
Netherlands,NLD,2001,0.04894640681537245,0.4515793287290435,12.95863
Netherlands,NLD,2002,0.04926130167364445,0.4634545482758255,13.37441
Netherlands,NLD,2003,0.0496735982665406,0.47540421890881746,13.77109
Netherlands,NLD,2004,0.0501589799010845,0.48732833371,14.14334
Netherlands,NLD,2005,0.050699009225785,0.49918106666604745,14.48276
Netherlands,NLD,2006,0.0512667925404705,0.510872047807904,14.78866
Netherlands,NLD,2007,0.0518270910266548,0.5224306450509725,15.06056
Netherlands,NLD,2008,0.0523736890625449,0.5338769666552774,15.29137
Netherlands,NLD,2009,0.052860273680042896,0.5452824307937455,15.48228
Netherlands,NLD,2010,0.053280445212389546,0.556451177457262,15.63505
Netherlands,NLD,2011,0.05367370890899645,0.5673978109482135,15.7577
Netherlands,NLD,2012,0.05408460708418285,0.578044090082245,15.85968
Netherlands,NLD,2013,0.05455814322335395,0.588256690398576,15.94725
Netherlands,NLD,2014,0.05512753758958465,0.597892748186944,16.03345
Netherlands,NLD,2015,0.05580459449522525,0.607042338175085,16.12454
Netherlands,NLD,2016,0.056585856413786856,0.6156807980379305,16.22434
Netherlands,NLD,2017,0.057446386716874,0.6238225709980645,16.32941
Netherlands,NLD,2018,0.0584425601397842,0.6314806114362225,16.43257
Netherlands,NLD,2019,0.05955764684662645,0.638769745125103,16.5379
Netherlands,NLD,2020,0.06079954590537259,0.6457631398465744,16.65103
Netherlands,NLD,2021,0.0621711665221349,0.6524521933807905,16.77178
